industry,Job_Title,State,zip_code,City,TitleLevel
,DIRECTOR HUMAN RESOURCES,,,,
,DIRECTOR OF FACILITIES,,,,
,HR DIRECTOR,,,,
,FINANCIAL MANAGER,,,,
,CHIEF OF STAFF,,,,
,%CHAIR%,,,,
,CHIEF EXECUTIVE OFFI,,,,
,ADMINISTRATIVE ASSOCIATE,,,,
,VICE PRESIDENT AND GENERAL MANAGER,,,,
,VP FINANCE,,,,
,PURCHASING DIRECTOR,,,,
,RETAIL STORE MANAGER,,,,
,SENIOR PARTNER,,,,
,DIRECTOR OPERATIONS,,,,
,SENIOR OPERATIONS MANAGER,,,,
,FACILITIES COORDINATOR,,,,
,HR COORDINATOR,,,,
,REGIONAL OPERATIONS MANAGER,,,,
,FINANCIAL DIRECTOR,,,,
,SENIOR MANAGING DIRECTOR,,,,
,DIRECTOR OF MAINTENANCE,,,,
,MANAGER HUMAN RESOURCES,,,,
,PRESIDENT AND FOUNDER,,,,
,FOUNDING PARTNER,,,,
,FACILITIES DIRECTOR,,,,
,PRESIDENT AND CHIEF OPERATING OFFICER,,,,
,%VICEPRESIDENT%,,,,
,PRESIDENT CHIEF EXECUTIVE OFFICER,,,,
,GENARAL MANAGER,,,,
,REAL ESTATE MANAGER,,,,
,ADMINISTRATIVE DIRECTOR,,,,
,DIRECTOR FINANCE,,,,
,VP OF OPERATIONS,,,,
,ADMIN ASST,,,,
,HUMAN RESOURCES EXEC,,,,
,EVENTS MANAGER,,,,
,CHAIRMAN AND CHIEF EXECUTIVE OFFICER,,,,
,FRONT DESK RECEPTIONIST,,,,
,STAFFING COORDINATOR,,,,
,MAINTENANCE DIRECTOR,,,,
,CHIEF OPERATIONS OFFICE,,,,
,DIRECTOR OF HR,,,,
,FRANCHISE OWNER,,,,
,FOUNDER CEO,,,,
,MANAGER OF OPERATIONS,,,,
,MANAGING PRINCIPAL,,,,
,PURCHASING COORDINATOR,,,,
,SENIOR EXECUTIVE ASSISTANT,,,,
,SOURCING MANAGER,,,,
,EVENTS COORDINATOR,,,,
,VP HUMAN RESOURCES,,,,
,CHIEF EXECUTIVE OFFICER AND PRESIDENT,,,,
,CHIEF ADMINISTRATIVE OFFICER,,,,
,OWNER AND PRESIDENT,,,,
